ListenID_23_04,Name,Kategorie,Typ,SM_TwitterURL,SM_TwitterID,SM_FacebookURL,SM_FacebookID,SM_InstagramURL,SM_InstagramID,K_Geschlecht,T_Abgeordneter,T_Partei,T_Domaene_Behoerde,K_Ursprungsgattung,K_Finanzierung,T_Mitglied_in_BPK
352,Landesverfassungsgericht Sachsen-Anhalt,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Verfassungsorgan Land,,,
353,Landeskriminalamt Sachsen-Anhalt,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Landesoberbehörde,,,
354,Schleswig-Holsteinischer Landtag,2,15,https://twitter.com/ParlaNet,29426520,https://www.facebook.com/Wirtschaftsministerium.aktuell,196037777098185,https://www.instagram.com/wirtschaftsland.sh/,11061708117,,,,Verfassungsorgan Land,,,
355,Landesregierung von Schleswig-Holstein,2,15,https://twitter.com/land_sh,80355411,https://www.facebook.com/SchleswigHolstein,38128729372,https://www.instagram.com/moin_karriere/,18846673023,,,,Verfassungsorgan Land,,,
356,Staatskanzlei des Landes Schleswig-Holstein,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
357,"Ministerium für Wirtschaft, Verkehr, Arbeit, Technologie und Tourismus (SH)",2,15,https://twitter.com/Wirtschaftsland,36349531,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
358,"Ministerium für Allgemeine und Berufliche Bildung,
Wissenschaft, Forschung und Kultur (SH)",2,15,https://twitter.com/SchuleSH,352982198,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
359,Finanzministerium (SH),2,15,existiert nicht,existiert nicht,https://www.facebook.com/Finanzministerium.SH?fref=ts,1476255789354690,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
360,"Ministerium für Inneres, Kommunales, Wohnen und Sport (SH)",2,15,existiert nicht,existiert nicht,https://www.facebook.com/innenministerium.sh,101725555782458,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
361,Ministerium für Justiz und Gesundheit (SH),2,15,existiert nicht,existiert nicht,https://www.facebook.com/JustizministeriumSchleswigHolstein/,103941461383749,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
362,"Ministerium für Energie­wende, Klimaschutz, Umwelt und Natur",2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
363,"Ministerium für Soziales, Jugend, Familie, Senioren, Integration und Gleichstellung",2,15,https://twitter.com/sozmiSH,1083669435506982912,https://www.facebook.com/Sozialministerium.SH,1896880993698520,https://www.instagram.com/sozialministerium.sh/,44312922443,,,,Oberste Landesbehörde,,,
364,"Ministerium für Landwirtschaft, ländliche Räume, Europa und Verbraucherschutz",2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,https://www.instagram.com/mlvnrw/,54260626077,,,,Oberste Landesbehörde,,,
365,Schleswig-Holsteinisches Landesverfassungsgericht,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Verfassungsorgan Land,,,
366,Landeskriminalamt Schleswig-Holstein,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Landesoberbehörde,,,
367,Thüringer Landtag,2,15,https://twitter.com/ThuerLandtag,702516905530228736,https://www.facebook.com/thueringer.landtag/,118252978672037,https://www.instagram.com/thueringerlandtag/,5919840776,,,,Verfassungsorgan Land,,,
368,Thüringer Landesregierung,2,15,https://twitter.com/thueringende,1212310728,https://www.facebook.com/FreistaatThueringen/,423363177747071,https://www.instagram.com/thueringen.de/,6765927294,,,,Verfassungsorgan Land,,,
369,Thüringer Staatskanzlei,2,15,https://twitter.com/thueringende,1212310728,https://www.facebook.com/FreistaatThueringen/,423363177747071,https://www.instagram.com/thueringen.de/,6765927294,,,,Oberste Landesbehörde,,,
370,"Thüringer Ministerium für Bildung, Jugend und Sport",2,15,https://twitter.com/bildungth,27458402,https://www.facebook.com/BildungTH/,204191076644782,https://www.instagram.com/BildungTH/,8186484452,,,,Oberste Landesbehörde,,,
371,Thüringer Finanzministerium,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
372,Thüringer Ministerium für Infrastruktur und Landwirtschaft,2,15,existiert nicht,existiert nicht,https://www.facebook.com/FinanzenTH,100485018963513,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
373,Thüringer Ministerium für Inneres und Kommunales,2,15,https://twitter.com/tmil_thueringen,872000381794082816,https://www.facebook.com/stadt.land.zukunft/,1023855397626720,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
374,"Thüringer Ministerium für Migration, Justiz und Verbraucherschutz",2,15,https://twitter.com/tmikthueringen,221060692,https://www.facebook.com/thueringerinnenministerium/,600572733384008,https://www.instagram.com/thueringerinnenministerium/,48182167586,,,,Oberste Landesbehörde,,,
375,"Thüringer Ministerium für Arbeit, Soziales, Gesundheit, Frauen und Familie",2,15,https://twitter.com/sozialesth,940240948092686336,https://www.facebook.com/SozialesTH,766040640093552,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
376,"Thüringer Ministerium für Umwelt, Energie und Naturschutz",2,15,https://twitter.com/umweltth,3062340244,https://www.facebook.com/TMUEN/,1587020421540270,https://www.instagram.com/umwelt_th/,16122758005,,,,Oberste Landesbehörde,,,
377,"Thüringer Ministerium für Wirtschaft, Wissenschaft und Digitale Gesellschaft",2,15,https://twitter.com/tmwwdg,1239933134134743046,https://www.facebook.com/tmwwdg/,231314463653767,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
378,Thüringer Verfassungshof ,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Verfassungsorgan Land,,,
379,Landeskriminalamt Thüringen,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Landesoberbehörde,,,
